name_1,period_length_1,period_str_1,name_2,period_length_2,period_str_2,name_3,period_length_3,period_str_3,context,period_type,correct_period_str,correct_period_length,correct_answer
Kyle,5.0,every 5 days,Tyler,1.4,five times a week,Alex,2.0,every other day,Kyle plays basketball every 5 days. Tyler plays basketball five times a week. Alex plays basketball every other day. The person who plays basketball more often is,days,five times a week,1.4,Tyler
Jerry,10.0,three times a month,Hope,7.0,every week,William,7.5,four times a month,Jerry takes out the trash three times a month. Hope takes out the trash every week. William takes out the trash four times a month. The person who takes out the trash more often is,weeks,every week,7.0,Hope
Andrew,30.0,monthly,Kyle,365.0,every year,Mark,182.5,twice a year,Andrew goes hiking monthly. Kyle goes hiking every year. Mark goes hiking twice a year. The person who goes hiking more often is,months,monthly,30.0,Andrew
Hope,28.0,every 4 weeks,Charlie,35.0,every 5 weeks,Leon,7.0,every week,Hope waters the plants every 4 weeks. Charlie waters the plants every 5 weeks. Leon waters the plants every week. The person who waters the plants more often is,weeks,every week,7.0,Leon
Mark,60.0,every two months,Charlie,182.5,twice a year,Ryan,180.0,every 6 months,Mark attends a conference every two months. Charlie attends a conference twice a year. Ryan attends a conference every 6 months. The person who attends a conference more often is,months,every two months,60.0,Mark
Hunter,30.0,every month,Dallas,7.0,every week,Leon,7.5,four times a month,Hunter has friends over every month. Dallas has friends over every week. Leon has friends over four times a month. The person who has friends over more often is,weeks,every week,7.0,Dallas
Josh,2.3333333333333335,three times a week,Dallas,1.0,every day,Ian,1.1666666666666667,six times a week,Josh waters the plants three times a week. Dallas waters the plants every day. Ian waters the plants six times a week. The person who waters the plants more often is,days,every day,1.0,Dallas
Ryan,180.0,every 6 months,Ian,91.25,four times a year,April,121.66666666666667,three times a year,Ryan attends a conference every 6 months. Ian attends a conference four times a year. April attends a conference three times a year. The person who attends a conference more often is,months,four times a year,91.25,Ian
April,730.0,every two years,Dean,2190.0,every 6 years,Jerry,365.0,every year,April visits France every two years. Dean visits France every 6 years. Jerry visits France every year. The person who visits France more often is,years,every year,365.0,Jerry
Robert,1.4,five times a week,Steve,1.1666666666666667,six times a week,Brandon,1.0,daily,Robert cleans the house five times a week. Steve cleans the house six times a week. Brandon cleans the house daily. The person who cleans the house more often is,days,daily,1.0,Brandon
Jason,1.0,daily,John,4.0,every 4 days,Alex,3.5,twice a week,Jason bakes a cake daily. John bakes a cake every 4 days. Alex bakes a cake twice a week. The person who bakes a cake more often is,days,daily,1.0,Jason
Henry,10.0,three times a month,Dean,21.0,every 3 weeks,Andrew,7.0,every week,Henry visits France three times a month. Dean visits France every 3 weeks. Andrew visits France every week. The person who visits France more often is,weeks,every week,7.0,Andrew
April,30.0,monthly,Hunter,121.66666666666667,three times a year,Andrew,150.0,every 5 months,April visits their grandparents monthly. Hunter visits their grandparents three times a year. Andrew visits their grandparents every 5 months. The person who visits their grandparents more often is,months,monthly,30.0,April
Ian,7.0,every week,Ryan,1.0,daily,William,1.1666666666666667,six times a week,Ian cleans the house every week. Ryan cleans the house daily. William cleans the house six times a week. The person who cleans the house more often is,days,daily,1.0,Ryan
Jack,30.0,every month,Max,14.0,every other week,Marco,28.0,every 4 weeks,Jack plays basketball every month. Max plays basketball every other week. Marco plays basketball every 4 weeks. The person who plays basketball more often is,weeks,every other week,14.0,Max
Scott,1.1666666666666667,six times a week,Josh,7.0,every week,Dallas,5.0,every 5 days,Scott plays volleyball six times a week. Josh plays volleyball every week. Dallas plays volleyball every 5 days. The person who plays volleyball more often is,days,six times a week,1.1666666666666667,Scott
Kevin,3.5,twice a week,Jerry,6.0,every 6 days,Ian,5.0,every 5 days,Kevin cleans the house twice a week. Jerry cleans the house every 6 days. Ian cleans the house every 5 days. The person who cleans the house more often is,days,twice a week,3.5,Kevin
Neil,730.0,every two years,Robert,365.0,every other year,Jerry,1825.0,every 5 years,Neil goes to a wedding every two years. Robert goes to a wedding every other year. Jerry goes to a wedding every 5 years. The person who goes to a wedding more often is,years,every other year,365.0,Robert
Jason,1.1666666666666667,six times a week,Grant,3.5,twice a week,Josh,2.3333333333333335,three times a week,Jason takes out the trash six times a week. Grant takes out the trash twice a week. Josh takes out the trash three times a week. The person who takes out the trash more often is,days,six times a week,1.1666666666666667,Jason
Leon,365.0,every year,Emily,1825.0,every 5 years,Kyle,730.0,every two years,Leon donates to charity every year. Emily donates to charity every 5 years. Kyle donates to charity every two years. The person who donates to charity more often is,years,every year,365.0,Leon
Kyle,120.0,every 4 months,Rachel,150.0,every 5 months,Henry,90.0,every 3 months,Kyle visits their grandparents every 4 months. Rachel visits their grandparents every 5 months. Henry visits their grandparents every 3 months. The person who visits their grandparents more often is,months,every 3 months,90.0,Henry
Ryan,1.0,daily,Rose,3.0,every 3 days,Mark,1.4,five times a week,Ryan walks the dog daily. Rose walks the dog every 3 days. Mark walks the dog five times a week. The person who walks the dog more often is,days,daily,1.0,Ryan
Robert,35.0,every 5 weeks,Luke,7.5,four times a month,Michael,5.0,six times a month,Robert visits their grandparents every 5 weeks. Luke visits their grandparents four times a month. Michael visits their grandparents six times a month. The person who visits their grandparents more often is,weeks,six times a month,5.0,Michael
Ian,90.0,every 3 months,Rachel,121.66666666666667,three times a year,Mark,365.0,every year,Ian throws a party every 3 months. Rachel throws a party three times a year. Mark throws a party every year. The person who throws a party more often is,months,every 3 months,90.0,Ian
Leon,60.833333333333336,six times a year,Joy,30.0,monthly,Emily,180.0,every 6 months,Leon goes on a vacation six times a year. Joy goes on a vacation monthly. Emily goes on a vacation every 6 months. The person who goes on a vacation more often is,months,monthly,30.0,Joy
Jerry,6.0,every 6 days,Maria,2.3333333333333335,three times a week,Jason,1.4,five times a week,Jerry cleans the house every 6 days. Maria cleans the house three times a week. Jason cleans the house five times a week. The person who cleans the house more often is,days,five times a week,1.4,Jason
Charlie,5.0,every 5 days,Ian,2.3333333333333335,three times a week,Aaron,1.0,every day,Charlie plays soccer every 5 days. Ian plays soccer three times a week. Aaron plays soccer every day. The person who plays soccer more often is,days,every day,1.0,Aaron
Rachel,365.0,every year,Grant,60.0,every other month,Charlie,120.0,every 4 months,Rachel watches a movie every year. Grant watches a movie every other month. Charlie watches a movie every 4 months. The person who watches a movie more often is,months,every other month,60.0,Grant
Matt,30.0,every month,Grant,21.0,every 3 weeks,John,7.5,four times a month,Matt goes on a vacation every month. Grant goes on a vacation every 3 weeks. John goes on a vacation four times a month. The person who goes on a vacation more often is,weeks,four times a month,7.5,John
George,60.833333333333336,six times a year,Hunter,121.66666666666667,three times a year,Scott,182.5,twice a year,George attends a workshop six times a year. Hunter attends a workshop three times a year. Scott attends a workshop twice a year. The person who attends a workshop more often is,months,six times a year,60.833333333333336,George
Peter,730.0,every two years,Andrew,365.0,every other year,Kyle,1825.0,every 5 years,Peter goes to a wedding every two years. Andrew goes to a wedding every other year. Kyle goes to a wedding every 5 years. The person who goes to a wedding more often is,years,every other year,365.0,Andrew
Kyle,3.5,twice a week,Rachel,1.75,four times a week,Frank,1.4,five times a week,Kyle waters the plants twice a week. Rachel waters the plants four times a week. Frank waters the plants five times a week. The person who waters the plants more often is,days,five times a week,1.4,Frank
Jerry,30.0,every month,John,14.0,every other week,Leon,7.5,four times a month,Jerry goes on a business trip every month. John goes on a business trip every other week. Leon goes on a business trip four times a month. The person who goes on a business trip more often is,weeks,four times a month,7.5,Leon
Marco,6.0,every 6 days,Steve,7.0,every week,Jason,1.0,daily,Marco bakes a cake every 6 days. Steve bakes a cake every week. Jason bakes a cake daily. The person who bakes a cake more often is,days,daily,1.0,Jason
Matt,21.0,every 3 weeks,Bob,6.0,five times a month,Aaron,15.0,twice a month,Matt walks the dog every 3 weeks. Bob walks the dog five times a month. Aaron walks the dog twice a month. The person who walks the dog more often is,weeks,five times a month,6.0,Bob
Dean,60.0,every other month,Rachel,150.0,every 5 months,George,60.833333333333336,six times a year,Dean visits France every other month. Rachel visits France every 5 months. George visits France six times a year. The person who visits France more often is,months,every other month,60.0,Dean
Henry,14.0,every other week,William,28.0,every 4 weeks,Mark,5.0,six times a month,Henry goes on a vacation every other week. William goes on a vacation every 4 weeks. Mark goes on a vacation six times a month. The person who goes on a vacation more often is,weeks,six times a month,5.0,Mark
Frank,365.0,every year,Emily,1825.0,every 5 years,Peter,730.0,every two years,Frank goes to a wedding every year. Emily goes to a wedding every 5 years. Peter goes to a wedding every two years. The person who goes to a wedding more often is,years,every year,365.0,Frank
Laura,1.4,five times a week,Josh,1.0,daily,Dean,3.5,twice a week,Laura goes for a run five times a week. Josh goes for a run daily. Dean goes for a run twice a week. The person who goes for a run more often is,days,daily,1.0,Josh
Kyle,5.0,six times a month,Jerry,28.0,every 4 weeks,Marco,35.0,every 5 weeks,Kyle goes for a run six times a month. Jerry goes for a run every 4 weeks. Marco goes for a run every 5 weeks. The person who goes for a run more often is,weeks,six times a month,5.0,Kyle
Dallas,7.0,every week,Mark,1.75,four times a week,John,4.0,every 4 days,Dallas changes the bed sheets every week. Mark changes the bed sheets four times a week. John changes the bed sheets every 4 days. The person who changes the bed sheets more often is,days,four times a week,1.75,Mark
Jason,35.0,every 5 weeks,Andrew,21.0,every 3 weeks,Bob,6.0,five times a month,Jason cleans the windows every 5 weeks. Andrew cleans the windows every 3 weeks. Bob cleans the windows five times a month. The person who cleans the windows more often is,weeks,five times a month,6.0,Bob
Marco,365.0,every year,Neil,1460.0,every 4 years,Jack,1825.0,every 5 years,Marco goes to a wedding every year. Neil goes to a wedding every 4 years. Jack goes to a wedding every 5 years. The person who goes to a wedding more often is,years,every year,365.0,Marco
William,150.0,every 5 months,Laura,73.0,five times a year,Jack,180.0,every 6 months,William goes on a business trip every 5 months. Laura goes on a business trip five times a year. Jack goes on a business trip every 6 months. The person who goes on a business trip more often is,months,five times a year,73.0,Laura
Max,6.0,every 6 days,Jack,7.0,every week,Dean,3.5,twice a week,Max goes for a swim every 6 days. Jack goes for a swim every week. Dean goes for a swim twice a week. The person who goes for a swim more often is,days,twice a week,3.5,Dean
Brandon,6.0,every 6 days,Neil,3.0,every 3 days,Mark,4.0,every 4 days,Brandon goes to the gym every 6 days. Neil goes to the gym every 3 days. Mark goes to the gym every 4 days. The person who goes to the gym more often is,days,every 3 days,3.0,Neil
Neil,60.0,every two months,Michael,73.0,five times a year,Bob,121.66666666666667,three times a year,Neil visits India every two months. Michael visits India five times a year. Bob visits India three times a year. The person who visits India more often is,months,every two months,60.0,Neil
Dallas,90.0,every 3 months,Michael,30.0,monthly,Alice,180.0,every 6 months,Dallas visits Italy every 3 months. Michael visits Italy monthly. Alice visits Italy every 6 months. The person who visits Italy more often is,months,monthly,30.0,Michael
