sentence,datetime,date_idx_start,date_idx_end,event,verb,event_idx_start,event_idx_end,verb_idx_start,verb_idx_end
"I know they are leaving on the 20th of March, but I don't know when they will return",2019-03-20,24,44,leaving,leaving,16,23,16,23
"on the 1st of May, he finally talked to me",2019-05-01,0,17,talked to me,talked,30,42,30,36
"I'll call you back on the 1st of January, once I have more information",2019-01-01,19,40,call you back,call,5,18,5,9
I'll go buy groceries on the 10th of October,2019-10-10,22,44,buy groceries,go,8,21,5,7
"I last saw them on the 10th of January, and we had a great time catching up",2019-01-10,16,38,saw them,last saw,7,15,2,10
"The new law goes into effect on the 10th of July, changing several regulations",2019-07-10,29,48,new law goes into effect,goes,4,28,12,16
He had to wait until on the 20th of June to get a table,2019-06-20,21,40,wait until on the 20th of June to get a table,had to wait,10,55,3,14
"Their anniversary celebration took place on the 1st of April, and it was beautiful",2019-04-01,41,60,anniversary celebration,took place,6,29,30,40
"We’re planning to visit them on the 10th of May, if everything goes as expected",2019-05-10,29,47,visit them,planning,18,28,6,14
"I last saw them on the 1st of August, and we had a great time catching up",2019-08-01,16,36,catching up,had,62,73,45,48
We watched the movie together on the 30th of December,2019-12-30,30,53,watched the movie together,watched,3,29,3,10
"I last saw them on the 10th of April, and we had a great time catching up",2019-04-10,16,36,last saw them,saw,2,15,7,10
We watched the movie together on the 1st of October,2019-10-01,30,51,watched the movie together,watched,3,29,3,10
"The concert was postponed to on the 20th of August, due to unexpected weather conditions",2019-08-20,29,50,concert was postponed,was postponed,4,25,12,25
"The new law goes into effect on the 30th of March, changing several regulations",2019-03-30,29,49,new law goes into effect,goes,4,28,12,16
We watched the movie together on the 10th of December,2019-12-10,30,53,watched the movie together,watched,3,29,3,10
"on the 30th of December, he finally talked to me",2019-12-30,0,23,talked to me,talked,36,48,36,42
"I'll call you back on the 10th of July, once I have more information",2019-07-10,19,38,call you back,call,5,18,5,9
Our meeting is set on the 10th of March,2019-03-10,19,39,meeting is set,is set,4,18,12,18
"His resignation was officially announced on the 30th of December, shocking many employees",2019-12-30,41,64,resignation was officially announced,was officially announced,4,40,16,40
"The film came out on the 10th of April, receving a mixed reception",2019-04-10,18,38,film came out,came out,4,17,9,17
That matter was concluded on the 20th of September,2019-09-20,26,50,matter was concluded,was concluded,5,25,12,25
She went to the doctor on the 30th of May,2019-05-30,23,41,went to the doctor,went,4,22,4,8
"on the 20th of May, he finally talked to me",2019-05-20,0,18,talked to me,talked,31,43,31,37
We watched the movie together on the 10th of August,2019-08-10,30,51,watched the movie together,watched,3,29,3,10
"The store is expected to restock the item on the 20th of September, according to their website",2019-09-20,42,66,restock the item,is expected,25,41,10,21
"The store is expected to restock the item on the 20th of January, according to their website",2019-01-20,42,64,restock the item,expected,25,41,13,21
"I last saw them on the 30th of August, and we had a great time catching up",2019-08-30,16,37,last saw them,saw,2,15,7,10
"The concert was postponed to on the 20th of March, due to unexpected weather conditions",2019-03-20,29,49,concert was postponed to,postponed,4,28,16,25
Our meeting is set on the 20th of January,2019-01-20,19,41,meeting is set,is set,4,18,12,18
Our meeting is set on the 30th of March,2019-03-30,19,39,meeting is set,set,4,18,15,18
I was watching a video on the 1st of December which explained the subject really well,2019-12-01,23,45,watching a video,was watching,6,22,2,14
