name_1,date_1,name_2,date_2,name_3,date_3,alternatives,context,correct_date,correct_month,correct_month_label,correct_answer
Maria,2019-11-18,Connor,2019-06-11,Mark,2019-04-14,"['Maria', 'Connor', 'Mark']",Maria cooked lasagna on the 18th of November. Connor cooked lasagna on the 11th of June. Mark cooked lasagna on the 14th of April. The only person that cooked lasagna in April is,2019-04-14,April,3,Mark
Andrew,2019-08-25,Marco,2019-11-06,Hope,2019-01-15,"['Andrew', 'Marco', 'Hope']",Andrew went to a Thai restaurant on the 25th of August. Marco went to a Thai restaurant on the 6th of November. Hope went to a Thai restaurant on the 15th of January. The only person that went to a Thai restaurant in August is,2019-08-25,August,7,Andrew
Connor,2019-02-22,Neil,2019-12-16,Scott,2019-03-13,"['Connor', 'Neil', 'Scott']",Connor arrived in Italy on the 22nd of February. Neil arrived in Italy on the 16th of December. Scott arrived in Italy on the 13th of March. The only person that arrived in Italy in February is,2019-02-22,February,1,Connor
Luke,2019-11-02,Bob,2019-09-14,Matt,2019-10-13,"['Luke', 'Bob', 'Matt']",Luke went to a Mexican restaurant on the 2nd of November. Bob went to a Mexican restaurant on the 14th of September. Matt went to a Mexican restaurant on the 13th of October. The only person that went to a Mexican restaurant in November is,2019-11-02,November,10,Luke
George,2019-01-31,Walker,2019-09-27,Maria,2019-07-12,"['George', 'Walker', 'Maria']",George purchased a new laptop on the 31st of January. Walker purchased a new laptop on the 27th of September. Maria purchased a new laptop on the 12th of July. The only person that purchased a new laptop in July is,2019-07-12,July,6,Maria
Rachel,2019-05-16,Brandon,2019-08-16,Rose,2019-03-25,"['Rachel', 'Brandon', 'Rose']",Rachel washed the floors on the 16th of May. Brandon washed the floors on the 16th of August. Rose washed the floors on the 25th of March. The only person that washed the floors in August is,2019-08-16,August,7,Brandon
Marco,2019-11-06,Max,2019-02-27,Brandon,2019-03-15,"['Marco', 'Max', 'Brandon']",Marco painted a portrait on the 6th of November. Max painted a portrait on the 27th of February. Brandon painted a portrait on the 15th of March. The only person that painted a portrait in November is,2019-11-06,November,10,Marco
Charlie,2019-03-09,Frank,2019-08-19,April,2019-08-08,"['Charlie', 'Frank', 'April']",Charlie went to a Chinese restaurant on the 9th of March. Frank went to a Chinese restaurant on the 19th of August. April went to a Chinese restaurant on the 8th of August. The only person that went to a Chinese restaurant in March is,2019-03-09,March,2,Charlie
John,2019-08-13,Steve,2019-11-18,Martin,2019-04-24,"['John', 'Steve', 'Martin']",John ironed the clothes on the 13th of August. Steve ironed the clothes on the 18th of November. Martin ironed the clothes on the 24th of April. The only person that ironed the clothes in August is,2019-08-13,August,7,John
Scott,2019-10-14,Joy,2019-07-25,Charlie,2019-08-08,"['Scott', 'Joy', 'Charlie']",Scott arrived in Italy on the 14th of October. Joy arrived in Italy on the 25th of July. Charlie arrived in Italy on the 8th of August. The only person that arrived in Italy in August is,2019-08-08,August,7,Charlie
