name_1,date_1,duration_str_1,name_2,date_2,duration_str_2,name_3,date_3,duration_str_3,context,duration_type,correct_date,correct_date_expr,correct_end_date,correct_duration,correct_duration_str,correct_duration_length,correct_month,correct_answer
Connor,2019-02-15,4 days,Martin,2019-02-24,9 days,Alex,2019-02-05,6 days,Connor's photography exhibit opens on the 15th of February and runs for 4 days. Martin's photography exhibit opens on the 24th of February and runs for 9 days. Alex's photography exhibit opens on the 5th of February and runs for 6 days. The person whose exhibit ends first is,days,2019-02-05,the 5th of February,2019-02-11,6 days,6 days,6,February,Alex
Rose,2019-01-11,21 days,Mark,2019-02-13,2 weeks,Joy,2019-02-24,3 weeks,Rose's probation period starts on the 11th of January and will complete it in 21 days. Mark's probation period starts on the 13th of February and will complete it in 2 weeks. Joy's probation period starts on the 24th of February and will complete it in 3 weeks. The person whose probation period ends first is,weeks,2019-01-11,the 11th of January,2019-02-01,21 days,21 days,21,January,Rose
Blake,2019-02-16,10 days,William,2019-02-07,7 days,Grant,2019-02-05,25 days,Blake is going on a pilgrimage starting on the 16th of February and will be away for 10 days. William is going on a pilgrimage starting on the 7th of February and will be away for 7 days. Grant is going on a pilgrimage starting on the 5th of February and will be away for 25 days. The person whose pilgrimage ends first is,weeks,2019-02-07,the 7th of February,2019-02-14,7 days,7 days,7,February,William
Mark,2019-01-21,14 days,William,2019-02-25,30 days,George,2019-02-23,14 days,Mark is starting a volunteer program on the 21st of January and will be active for 14 days. William is starting a volunteer program on the 25th of February and will be active for 30 days. George is starting a volunteer program on the 23rd of February and will be active for 14 days. The person whose volunteer program ends first is,weeks,2019-01-21,the 21st of January,2019-02-04,14 days,14 days,14,January,Mark
Alex,2019-02-05,6 days,Rose,2019-01-17,10 days,Connor,2019-02-15,4 days,Alex's conference kicks off on the 5th of February and continues for 6 days. Rose's conference kicks off on the 17th of January and continues for 10 days. Connor's conference kicks off on the 15th of February and continues for 4 days. The person whose conference ends first is,days,2019-01-17,the 17th of January,2019-01-27,10 days,10 days,10,January,Rose
Connor,2019-02-15,4 days,Maria,2019-02-28,3 days,Alex,2019-02-05,6 days,"Connor starts a photography bootcamp on the 15th of February, which lasts for 4 days. Maria starts a photography bootcamp on the 28th of February, which lasts for 3 days. Alex starts a photography bootcamp on the 5th of February, which lasts for 6 days. The person whose photography bootcamp ends first is",days,2019-02-05,the 5th of February,2019-02-11,6 days,6 days,6,February,Alex
Jason,2019-01-04,6 weeks,George,2019-02-12,6 weeks,Max,2019-01-03,4 weeks,Jason is starting a language course on the 4th of January and will last for 6 weeks. George is starting a language course on the 12th of February and will last for 6 weeks. Max is starting a language course on the 3rd of January and will last for 4 weeks. The person whose language course ends first is,months,2019-01-03,the 3rd of January,2019-01-31,28 days,4 weeks,28,January,Max
Dallas,2019-02-24,8 days,Blake,2019-02-22,1 day,Peter,2019-01-06,7 days,Dallas's intensive course starts on the 24th of February and lasts for 8 days. Blake's intensive course starts on the 22nd of February and lasts for 1 day. Peter's intensive course starts on the 6th of January and lasts for 7 days. The person whose intensive course ends first is,days,2019-01-06,the 6th of January,2019-01-13,7 days,7 days,7,January,Peter
William,2019-02-07,7 days,Blake,2019-01-13,7 days,Hope,2019-01-05,7 days,William's project kickoff is on the 7th of February and lasts for 7 days. Blake's project kickoff is on the 13th of January and lasts for 7 days. Hope's project kickoff is on the 5th of January and lasts for 7 days. The person whose project ends first is,weeks,2019-01-05,the 5th of January,2019-01-12,7 days,7 days,7,January,Hope
Kyle,2019-02-09,7 days,Tyler,2019-01-30,7 days,George,2019-01-26,30 days,Kyle is starting a language course on the 9th of February and will last for 7 days. Tyler is starting a language course on the 30th of January and will last for 7 days. George is starting a language course on the 26th of January and will last for 30 days. The person whose language course ends first is,weeks,2019-01-30,the 30th of January,2019-02-06,7 days,7 days,7,January,Tyler
