context,correct_city,correct_country,correct_continent,correct_lat,correct_lon,correct_geodesic_dist,correct_through_earth_dist,correct_euclidean_dist,correct_answer,reference_city,reference_country,reference_continent,reference_lat,reference_lon,reference_name,name_1,city_1,country_1,continent_1,lat_1,lon_1,name_2,city_2,country_2,continent_2,lat_2,lon_2,name_3,city_3,country_3,continent_3,lat_3,lon_3
Bob lives in Malabo. George lives in Tacuru. Jack lives in Chudovo. The person who lives closest to Bob is,Chudovo,Russia,Asia,59.1167,31.6667,6464.335091578599,6190.584843315592,59.91674319002995,Jack,Malabo,Equatorial Guinea,Africa,3.7456,8.7744,Bob,Bob,Malabo,Equatorial Guinea,Africa,3.7456,8.7744,George,Tacuru,Brazil,South America,-23.6328,-55.0158,Jack,Chudovo,Russia,Asia,59.1167,31.6667
Rachel lives in Naas. Mark lives in Rabinal. Brandon lives in Tralee. The person who lives closest to Rachel is,Tralee,Ireland,Europe,52.2675,-9.6962,229.55066307105562,229.53824648635705,3.174260761185193,Brandon,Naas,Ireland,Europe,53.2158,-6.6669,Rachel,Rachel,Naas,Ireland,Europe,53.2158,-6.6669,Mark,Rabinal,Guatemala,North America,15.068,-90.489,Brandon,Tralee,Ireland,Europe,52.2675,-9.6962
Emily lives in Itapagipe. Brandon lives in Karuzi. Joy lives in Bismarck. The person who lives closest to Emily is,Karuzi,Burundi,Africa,-3.1,30.1667,8797.802810300516,8115.246748077191,81.30402127484224,Brandon,Itapagipe,Brazil,South America,-19.9089,-49.3808,Emily,Emily,Itapagipe,Brazil,South America,-19.9089,-49.3808,Brandon,Karuzi,Burundi,Africa,-3.1,30.1667,Joy,Bismarck,United States,North America,46.8143,-100.7694
William lives in Kafr Baţnā. Rose lives in Kllokot. Peter lives in Samborondón. The person who lives closest to William is,Kllokot,Kosovo,Europe,42.3714,21.3744,1639.172527874349,1634.6551316715268,17.419623617633075,Rose,Kafr Baţnā,Syria,Asia,33.5117,36.3727,William,William,Kafr Baţnā,Syria,Asia,33.5117,36.3727,Rose,Kllokot,Kosovo,Europe,42.3714,21.3744,Peter,Samborondón,Ecuador,South America,-2.1833,-79.8833
Grant lives in Xinxing. Bob lives in Lübeck. Scott lives in Vechta. The person who lives closest to Grant is,Lübeck,Germany,Europe,53.8697,10.6864,7141.385112731773,6773.3430634500355,113.31242313674171,Bob,Xinxing,China,Asia,47.1601,123.8,Grant,Grant,Xinxing,China,Asia,47.1601,123.8,Bob,Lübeck,Germany,Europe,53.8697,10.6864,Scott,Vechta,Germany,Europe,52.7306,8.2886
Jack lives in Jbaïl. Marco lives in Araguari. Dallas lives in Aizkraukle. The person who lives closest to Jack is,Aizkraukle,Latvia,Europe,56.6008,25.255,2621.2216612550515,2602.772959599552,24.765299300634343,Dallas,Jbaïl,Lebanon,Asia,34.1236,35.6519,Jack,Jack,Jbaïl,Lebanon,Asia,34.1236,35.6519,Marco,Araguari,Brazil,South America,-18.6489,-48.1869,Dallas,Aizkraukle,Latvia,Europe,56.6008,25.255
Rose lives in São Mateus. Luke lives in Itiquira. Hunter lives in Santiago Suchilquitongo. The person who lives closest to Rose is,Itiquira,Brazil,South America,-17.2089,-54.15,1520.5070447264297,1516.9010121892682,14.370778150469096,Luke,São Mateus,Brazil,South America,-18.7201,-39.8589,Rose,Rose,São Mateus,Brazil,South America,-18.7201,-39.8589,Luke,Itiquira,Brazil,South America,-17.2089,-54.15,Hunter,Santiago Suchilquitongo,Mexico,North America,17.25,-96.8833
Walker lives in Yangirabot. Henry lives in Serra Branca. Peter lives in Gümüşhane. The person who lives closest to Walker is,Gümüşhane,Turkey,Europe,40.4597,39.4778,2240.006187897284,2228.486251201187,26.490869417593675,Peter,Yangirabot,Uzbekistan,Asia,40.0372,65.9653,Walker,Walker,Yangirabot,Uzbekistan,Asia,40.0372,65.9653,Henry,Serra Branca,Brazil,South America,-7.4828,-36.665,Peter,Gümüşhane,Turkey,Europe,40.4597,39.4778
Hope lives in Salaspils. Fred lives in Varna. Leon lives in Marhamat. The person who lives closest to Hope is,Varna,Bulgaria,Europe,43.2114,27.9111,1538.4422828017173,1534.7071967140052,14.106875387909264,Fred,Salaspils,Latvia,Europe,56.8614,24.35,Hope,Hope,Salaspils,Latvia,Europe,56.8614,24.35,Fred,Varna,Bulgaria,Europe,43.2114,27.9111,Leon,Marhamat,Uzbekistan,Asia,40.5,72.3333
Frank lives in Szczecin. John lives in Areiópolis. Laura lives in Lier. The person who lives closest to Frank is,Lier,Norway,Europe,59.8675,10.2142,762.6111318678805,762.155928794233,7.758344811233902,Laura,Szczecin,Poland,Europe,53.4325,14.5481,Frank,Frank,Szczecin,Poland,Europe,53.4325,14.5481,John,Areiópolis,Brazil,South America,-22.6681,-48.665,Laura,Lier,Norway,Europe,59.8675,10.2142
John lives in Tobelo. Richard lives in Tuncheng. Ryan lives in Baku. The person who lives closest to John is,Tuncheng,China,Asia,19.3633,110.0978,2764.4604314686676,2742.8241556061935,25.132337057265485,Richard,Tobelo,Indonesia,Asia,1.7319,128.0078,John,John,Tobelo,Indonesia,Asia,1.7319,128.0078,Richard,Tuncheng,China,Asia,19.3633,110.0978,Ryan,Baku,Azerbaijan,Europe,40.3667,49.8352
Bob lives in Kauniainen. Alice lives in Jos. George lives in Rosário. The person who lives closest to Bob is,Jos,Nigeria,Africa,9.9167,8.8903,5745.513942837468,5552.786273153421,52.7360469603098,Alice,Kauniainen,Finland,Europe,60.2167,24.7333,Bob,Bob,Kauniainen,Finland,Europe,60.2167,24.7333,Alice,Jos,Nigeria,Africa,9.9167,8.8903,George,Rosário,Brazil,South America,-2.9339,-44.235
William lives in Tecolutla. Laura lives in Hildesheim. Dallas lives in Ibiassucê. The person who lives closest to William is,Ibiassucê,Brazil,South America,-14.2589,-42.2569,7120.557873492514,6755.693132439858,64.84344446102475,Dallas,Tecolutla,Mexico,North America,20.4797,-97.01,William,William,Tecolutla,Mexico,North America,20.4797,-97.01,Laura,Hildesheim,Germany,Europe,52.15,9.95,Dallas,Ibiassucê,Brazil,South America,-14.2589,-42.2569
Rose lives in Gölbaşı. Dallas lives in Luena. Brandon lives in Talachyn. The person who lives closest to Rose is,Talachyn,Belarus,Europe,54.4167,29.7,1642.285726824979,1637.7425570015585,14.946996547801836,Brandon,Gölbaşı,Turkey,Europe,39.7953,32.8028,Rose,Rose,Gölbaşı,Turkey,Europe,39.7953,32.8028,Dallas,Luena,Angola,Africa,-11.7918,19.9062,Brandon,Talachyn,Belarus,Europe,54.4167,29.7
Marco lives in Breves. Bob lives in La Trinidad. Kevin lives in Yakakent. The person who lives closest to Marco is,Yakakent,Turkey,Europe,41.6222,35.5314,9800.624139749078,8862.459044337165,96.29788988472176,Kevin,Breves,Brazil,South America,-1.6822,-50.4803,Marco,Marco,Breves,Brazil,South America,-1.6822,-50.4803,Bob,La Trinidad,Philippines,Asia,16.46,120.59,Kevin,Yakakent,Turkey,Europe,41.6222,35.5314
Aaron lives in Leoben. Rachel lives in Furmanov. Brandon lives in Saray. The person who lives closest to Aaron is,Furmanov,Russia,Asia,57.25,41.1333,2062.9673126474513,2053.9665072539374,27.84352434768271,Rachel,Leoben,Austria,Europe,47.3817,15.0972,Aaron,Aaron,Leoben,Austria,Europe,47.3817,15.0972,Rachel,Furmanov,Russia,Asia,57.25,41.1333,Brandon,Saray,Turkey,Europe,38.6506,44.17
Connor lives in Shuangyashan. Rose lives in Ipiaú. Marco lives in La Roche-sur-Yon. The person who lives closest to Connor is,La Roche-sur-Yon,France,Europe,46.6705,-1.426,8655.01055739728,8004.653076620682,132.56760012254125,Marco,Shuangyashan,China,Asia,46.6762,131.1416,Connor,Connor,Shuangyashan,China,Asia,46.6762,131.1416,Rose,Ipiaú,Brazil,South America,-14.1369,-39.7339,Marco,La Roche-sur-Yon,France,Europe,46.6705,-1.426
Maria lives in Yaoundé. John lives in Guapiaçu. Dallas lives in Rondon do Pará. The person who lives closest to Maria is,Rondon do Pará,Brazil,South America,-4.7758,-48.0669,6688.16261100546,6385.255526785148,60.207127445261825,Dallas,Yaoundé,Cameroon,Africa,3.8667,11.5167,Maria,Maria,Yaoundé,Cameroon,Africa,3.8667,11.5167,John,Guapiaçu,Brazil,South America,-20.795,-49.22,Dallas,Rondon do Pará,Brazil,South America,-4.7758,-48.0669
