sentence,hours_delta,date_idx_start,date_idx_end,reference_type
He had to wait until six days ago to get a table,-144,21,33,day
We watched the movie together two years ago,-17520,30,43,year
"I know they are leaving in two months, but I don't know when they will return",1440,24,37,month
"The concert was postponed to in twelve hours, due to unexpected weather conditions",12,29,44,hour
I'll go buy groceries in an hour,1,22,32,hour
I was watching a video two months ago which explained the subject really well,-1440,23,37,month
"I last saw them two weeks ago, and we had a great time catching up",-336,16,29,week
We watched the movie together two months ago,-1440,30,44,month
"His resignation was officially announced six months ago, shocking many employees",-4320,41,55,month
We watched the movie together six days ago,-144,30,42,day
"The store is expected to restock the item tomorrow, according to their website",24,42,50,day
We watched the movie together five days ago,-120,30,43,day
I'll go buy groceries in four days,96,22,34,day
"I'll call you back in two hours, once I have more information",2,19,31,hour
"Their anniversary celebration took place three days ago, and it was beautiful",-72,41,55,day
"I'll call you back in six hours, once I have more information",6,19,31,hour
We watched the movie together four days ago,-96,30,43,day
He had to wait until three hours ago to get a table,-3,21,36,hour
I was watching a video four hours ago which explained the subject really well,-4,23,37,hour
"The film came out six days ago, receving a mixed reception",-144,18,30,day
She went to the doctor three weeks ago,-504,23,38,week
I'll go buy groceries in eight hours,8,22,36,hour
"I met him for the first time six days ago, and we immediately hit it off",-144,29,41,day
"I last saw them two years ago, and we had a great time catching up",-17520,16,29,year
"The store is expected to restock the item next year, according to their website",8760,42,51,year
We watched the movie together three months ago,-2160,30,46,month
That matter was concluded a day ago,-24,26,35,day
"The store is expected to restock the item next week, according to their website",168,42,51,week
"three years ago, he finally talked to me",-26280,0,15,year
"The film came out three months ago, receving a mixed reception",-2160,18,34,month
"Their anniversary celebration took place two years ago, and it was beautiful",-17520,41,54,year
We watched the movie together two hours ago,-2,30,43,hour
"I know they are leaving tomorrow, but I don't know when they will return",24,24,32,day
"I last saw them two months ago, and we had a great time catching up",-1440,16,30,month
"The new law goes into effect next week, changing several regulations",168,29,38,week
"His resignation was officially announced six days ago, shocking many employees",-144,41,53,day
"The concert was postponed to in six hours, due to unexpected weather conditions",6,29,41,hour
I'll go buy groceries in two months,1440,22,35,month
"The concert was postponed to next year, due to unexpected weather conditions",8760,29,38,year
"The store is expected to restock the item next month, according to their website",720,42,52,month
That matter was concluded three years ago,-26280,26,41,year
"The new law goes into effect in twelve hours, changing several regulations",12,29,44,hour
We watched the movie together six months ago,-4320,30,44,month
"The film came out six months ago, receving a mixed reception",-4320,18,32,month
"The film came out a year ago, receving a mixed reception",-8760,18,28,year
"I know they are leaving in six months, but I don't know when they will return",4320,24,37,month
He had to wait until three weeks ago to get a table,-504,21,36,week
Our meeting is set in two days,48,19,30,day
I was watching a video a year ago which explained the subject really well,-8760,23,33,year
"His resignation was officially announced four days ago, shocking many employees",-96,41,54,day
He had to wait until two years ago to get a table,-17520,21,34,year
Our meeting is set in six hours,6,19,31,hour
We watched the movie together three weeks ago,-504,30,45,week
That matter was concluded two weeks ago,-336,26,39,week
"I know they are leaving next week, but I don't know when they will return",168,24,33,week
"I last saw them eight hours ago, and we had a great time catching up",-8,16,31,hour
Our meeting is set in two months,1440,19,32,month
"Their anniversary celebration took place six days ago, and it was beautiful",-144,41,53,day
"I met him for the first time two hours ago, and we immediately hit it off",-2,29,42,hour
"I last saw them three days ago, and we had a great time catching up",-72,16,30,day
The product launched three weeks ago and was a great success,-504,21,36,week
She went to the doctor three days ago,-72,23,37,day
The product launched two weeks ago and was a great success,-336,21,34,week
"I know they are leaving next year, but I don't know when they will return",8760,24,33,year
"I met him for the first time six weeks ago, and we immediately hit it off",-1008,29,42,week
"I last saw them twelve hours ago, and we had a great time catching up",-12,16,32,hour
"I last saw them two hours ago, and we had a great time catching up",-2,16,29,hour
"The film came out two months ago, receving a mixed reception",-1440,18,32,month
She went to the doctor four days ago,-96,23,36,day
"The store is expected to restock the item three hours from now, according to their website",3,42,62,hour
We watched the movie together an hour ago,-1,30,41,hour
He had to wait until eight hours ago to get a table,-8,21,36,hour
"three hours ago, he finally talked to me",-3,0,15,hour
"The new law goes into effect four hours from now, changing several regulations",4,29,48,hour
"I'll call you back in two years, once I have more information",17520,19,31,year
"three weeks ago, he finally talked to me",-504,0,15,week
I'll go buy groceries in three months,2160,22,37,month
"The concert was postponed to in an hour, due to unexpected weather conditions",1,29,39,hour
He had to wait until five days ago to get a table,-120,21,34,day
"I know they are leaving in two days, but I don't know when they will return",48,24,35,day
"The film came out three years ago, receving a mixed reception",-26280,18,33,year
That matter was concluded a year ago,-8760,26,36,year
"I met him for the first time three days ago, and we immediately hit it off",-72,29,43,day
I was watching a video an hour ago which explained the subject really well,-1,23,34,hour
"Their anniversary celebration took place a month ago, and it was beautiful",-720,41,52,month
She went to the doctor two hours ago,-2,23,36,hour
"The new law goes into effect next year, changing several regulations",8760,29,38,year
We watched the movie together three hours ago,-3,30,45,hour
She went to the doctor six weeks ago,-1008,23,36,week
"I know they are leaving in six years, but I don't know when they will return",52560,24,36,year
"two weeks ago, he finally talked to me",-336,0,13,week
She went to the doctor an hour ago,-1,23,34,hour
"The film came out a month ago, receving a mixed reception",-720,18,29,month
I was watching a video eight hours ago which explained the subject really well,-8,23,38,hour
"I last saw them three months ago, and we had a great time catching up",-2160,16,32,month
"Their anniversary celebration took place six years ago, and it was beautiful",-52560,41,54,year
"I met him for the first time six years ago, and we immediately hit it off",-52560,29,42,year
"I'll call you back next year, once I have more information",8760,19,28,year
He had to wait until three months ago to get a table,-2160,21,37,month
"four days ago, he finally talked to me",-96,0,13,day
Our meeting is set next month,720,19,29,month
"I'll call you back next week, once I have more information",168,19,28,week
"I met him for the first time six hours ago, and we immediately hit it off",-6,29,42,hour
I was watching a video three days ago which explained the subject really well,-72,23,37,day
"The store is expected to restock the item in six hours, according to their website",6,42,54,hour
I'll go buy groceries in six hours,6,22,34,hour
He had to wait until six hours ago to get a table,-6,21,34,hour
"The store is expected to restock the item in an hour, according to their website",1,42,52,hour
She went to the doctor twelve hours ago,-12,23,39,hour
I was watching a video six months ago which explained the subject really well,-4320,23,37,month
"We’re planning to visit them in six months, if everything goes as expected",4320,29,42,month
Our meeting is set in eight hours,8,19,33,hour
She went to the doctor two weeks ago,-336,23,36,week
"I'll call you back in three months, once I have more information",2160,19,34,month
"I met him for the first time four days ago, and we immediately hit it off",-96,29,42,day
That matter was concluded two years ago,-17520,26,39,year
We watched the movie together a week ago,-168,30,40,week
"I met him for the first time six months ago, and we immediately hit it off",-4320,29,43,month
Our meeting is set in five days,120,19,31,day
She went to the doctor six years ago,-52560,23,36,year
Our meeting is set in twelve hours,12,19,34,hour
I was watching a video two hours ago which explained the subject really well,-2,23,36,hour
"His resignation was officially announced a month ago, shocking many employees",-720,41,52,month
"We’re planning to visit them next week, if everything goes as expected",168,29,38,week
