name_1,date_1,name_2,date_2,name_3,date_3,context,correct_date,correct_answer
Scott,1917-11-26,Grant,1903-12-17,Charlie,1912-02-14,Scott was born on the day the National Hockey League was formed. Grant was born on the day the Wright brothers made their first successful flight. Charlie was born on the day Arizona became a U.S. state. The oldest is,1903-12-17,Grant
Neil,1918-07-04,John,1902-01-13,Peter,1909-03-10,Neil was born on the day Mehmed VI became the last Sultan of the Ottoman Empire. John was born on the day the Unification of Saudi Arabia began. Peter was born on the day the Anglo-Siamese Treaty of 1909 was signed. The oldest is,1902-01-13,John
Walker,1906-09-28,Matt,1908-05-26,Joy,1917-03-08,Walker was born on the day the Second Occupation of Cuba began. Matt was born on the day the first commercial Middle Eastern oilfield was established. Joy was born on the day the Russian Revolution ended and the Russian Civil War began. The oldest is,1906-09-28,Walker
Jerry,1909-03-04,Andrew,1919-03-02,George,1916-06-10,Jerry was born on the day William Howard Taft was inaugurated as President. Andrew was born on the day the Communist International was established. George was born on the day the Arab Revolt began. The oldest is,1909-03-04,Jerry
William,1909-03-04,Walker,1901-01-01,Josh,1911-11-03,William was born on the day William Howard Taft was inaugurated as President. Walker was born on the day the Australian colonies federated. Josh was born on the day the Chevrolet Motor Company was founded. The oldest is,1901-01-01,Walker
Hunter,1913-05-30,Luke,1915-04-24,Andrew,1909-03-04,Hunter was born on the day the Treaty of London was signed. Luke was born on the day the deportation of Armenian leaders signaled the start of the Armenian Genocide. Andrew was born on the day William Howard Taft was inaugurated as President. The oldest is,1909-03-04,Andrew
Ian,1908-04-08,Jack,1916-03-07,Tyler,1917-06-04,Ian was born on the day H. H. Asquith became Prime Minister. Jack was born on the day Bayerische Flugzeugwerke was founded. Tyler was born on the day the first Pulitzer Prizes were announced. The oldest is,1908-04-08,Ian
William,1909-03-04,Alice,1907-08-31,Hunter,1911-03-25,William was born on the day William Howard Taft was inaugurated as President. Alice was born on the day the Anglo-Russian Convention ended the Great Game. Hunter was born on the day the Triangle Shirtwaist Factory fire resulted in 146 worker deaths. The oldest is,1907-08-31,Alice
Maria,1902-05-31,Alice,1914-12-19,Emily,1913-05-30,Maria was born on the day the Second Boer War ended. Alice was born on the day the United Kingdom established the Sultanate of Egypt as a protectorate. Emily was born on the day the Treaty of London was signed. The oldest is,1902-05-31,Maria
John,1919-07-18,Alice,1907-08-31,Neil,1918-07-04,John was born on the day the Polish-Ukrainian War ended. Alice was born on the day the Anglo-Russian Convention ended the Great Game. Neil was born on the day Mehmed VI became the last Sultan of the Ottoman Empire. The oldest is,1907-08-31,Alice
